"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Grid_Velocity_x","Grid_Velocity_y"
110, 1.000000000000000e-03, 1.047849238838549e-01, 5.275354390458881e-04, -1.210366907010378e-08, -6.421356352897076e-06, 1.096346519765091e+02, 0.000000000000000e+00, 0.000000000000000e+00
111, 1.000000000000000e-03, 8.986785740023751e-02, 5.276178160689250e-04, 2.599400748933616e-08, -5.564808195816488e-06, 1.096344069134326e+02, 0.000000000000000e+00, 0.000000000000000e+00
112, 1.000000000000000e-03, 7.677953926562986e-02, 5.276827423121474e-04, 7.660458520563738e-09, -4.500394215965554e-06, 1.096342764043419e+02, 0.000000000000000e+00, 0.000000000000000e+00
113, 1.000000000000000e-03, 6.534374789156025e-02, 5.277392729879324e-04, 3.336708359434229e-08, -3.448648185824834e-06, 1.096342184464103e+02, 0.000000000000000e+00, 0.000000000000000e+00
114, 1.000000000000000e-03, 5.538832543734795e-02, 5.277845603822705e-04, 1.325763504862209e-08, -2.524760563520898e-06, 1.096342055072875e+02, 0.000000000000000e+00, 0.000000000000000e+00
115, 1.000000000000000e-03, 4.674920336027921e-02, 5.278225854196337e-04, 2.352456534929785e-08, -1.762439455076040e-06, 1.096342087758369e+02, 0.000000000000000e+00, 0.000000000000000e+00
116, 1.000000000000000e-03, 3.927304219478223e-02, 5.278531096208069e-04, 6.469014695353284e-09, -1.165375433832961e-06, 1.096342302709034e+02, 0.000000000000000e+00, 0.000000000000000e+00
117, 1.000000000000000e-03, 3.281875495761466e-02, 5.278782055113348e-04, 1.320209855316121e-08, -7.206508133912405e-07, 1.096342512111683e+02, 0.000000000000000e+00, 0.000000000000000e+00
118, 1.000000000000000e-03, 2.725817055197743e-02, 5.278975808901442e-04, 2.346360303260206e-10, -4.041409303913347e-07, 1.096342763744211e+02, 0.000000000000000e+00, 0.000000000000000e+00
119, 1.000000000000000e-03, 2.247606386010892e-02, 5.279130740850863e-04, -4.713696960496439e-10, -1.932979473752679e-07, 1.096342971562924e+02, 0.000000000000000e+00, 0.000000000000000e+00
120, 1.000000000000000e-03, 1.836974242009260e-02, 5.279250270556790e-04, -1.037267580435784e-08, -6.314965105591160e-08, 1.096343165549653e+02, 0.000000000000000e+00, 0.000000000000000e+00
121, 1.000000000000000e-03, 1.484834197669416e-02, 5.279345315301883e-04, -1.100097651797650e-08, 6.782913588261451e-09, 1.096343310027170e+02, 0.000000000000000e+00, 0.000000000000000e+00
122, 1.000000000000000e-03, 1.183194847427149e-02, 5.279418050117137e-04, -1.795486381207761e-08, 3.525238380929043e-08, 1.096343420941783e+02, 0.000000000000000e+00, 0.000000000000000e+00
123, 1.000000000000000e-03, 9.250634037664685e-03, 5.279474647244271e-04, -1.988378791062538e-08, 3.641769945687181e-08, 1.096343489826497e+02, 0.000000000000000e+00, 0.000000000000000e+00
124, 1.000000000000000e-03, 7.043469738448828e-03, 5.279517478618897e-04, -2.450792910085054e-08, 2.232381400295390e-08, 1.096343524138666e+02, 0.000000000000000e+00, 0.000000000000000e+00
125, 1.000000000000000e-03, 5.157558299927478e-03, 5.279550381197139e-04, -2.664114223936922e-08, 2.044148526016685e-09, 1.096343517861137e+02, 0.000000000000000e+00, 0.000000000000000e+00
126, 1.000000000000000e-03, 3.547114797125107e-03, 5.279574624428465e-04, -2.346963794098600e-08, -2.014468282256298e-08, 1.096343499573441e+02, 0.000000000000000e+00, 0.000000000000000e+00
127, 1.000000000000000e-03, 2.172612144045849e-03, 5.279592495218463e-04, -2.041002123028823e-08, -4.438449527322262e-08, 1.096343472776329e+02, 0.000000000000000e+00, 0.000000000000000e+00
128, 1.000000000000000e-03, 1.000000000000001e-03, 5.279606035847812e-04, -6.515396206049464e-08, -6.746055272972732e-08, 1.096343419434732e+02, 0.000000000000000e+00, 0.000000000000000e+00
129, 1.000000000000000e-03, 0.000000000000000e+00, 5.279612378592792e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.096342699816827e+02, 0.000000000000000e+00, 0.000000000000000e+00
130, 2.172612144045849e-03, 1.000000000000000e+00, 5.246264991561684e-04, 1.740658508674043e-02, 0.000000000000000e+00, 1.105341150880717e+02, 3.317900000000000e+01, 0.000000000000000e+00
131, 2.172612144045849e-03, 9.990000000000000e-01, 5.161249649129541e-04, 4.851708236570810e-03, 9.069469105382251e-04, 1.084562549004455e+02, 0.000000000000000e+00, 0.000000000000000e+00
132, 2.172612144045849e-03, 9.978273878559544e-01, 5.191299989179965e-04, 7.891118142686153e-04, 3.458123824050684e-03, 1.089436090049314e+02, 0.000000000000000e+00, 0.000000000000000e+00
133, 2.172612144045849e-03, 9.964528852028749e-01, 5.205008426909917e-04, -3.365218302733308e-04, 4.280219957631501e-03, 1.091005587192646e+02, 0.000000000000000e+00, 0.000000000000000e+00
134, 2.172612144045849e-03, 9.948424417000725e-01, 5.217263512770445e-04, -5.528290493081319e-04, 4.194576986203592e-03, 1.092305914237062e+02, 0.000000000000000e+00, 0.000000000000000e+00
135, 2.172612144045849e-03, 9.929565302615510e-01, 5.227597516658362e-04, -4.979554119368678e-04, 3.670766831904977e-03, 1.093281518784012e+02, 0.000000000000000e+00, 0.000000000000000e+00
136, 2.172612144045849e-03, 9.907493659623356e-01, 5.236436482790770e-04, -3.673947992418022e-04, 3.026519415263944e-03, 1.094067697674103e+02, 0.000000000000000e+00, 0.000000000000000e+00
137, 2.172612144045849e-03, 9.881680515257286e-01, 5.243567317557467e-04, -2.482799762831828e-04, 2.414625403669336e-03, 1.094642970981236e+02, 0.000000000000000e+00, 0.000000000000000e+00
138, 2.172612144045849e-03, 9.851516580233060e-01, 5.249162792512851e-04, -1.628990856675853e-04, 1.897395334640282e-03, 1.095048232845599e+02, 0.000000000000000e+00, 0.000000000000000e+00
139, 2.172612144045849e-03, 9.816302575799080e-01, 5.253486114922157e-04, -1.067778754119668e-04, 1.483517360338680e-03, 1.095331600090773e+02, 0.000000000000000e+00, 0.000000000000000e+00
140, 2.172612144045849e-03, 9.775239361398915e-01, 5.256798049617899e-04, -7.082307126461530e-05, 1.158740833579447e-03, 1.095533286592538e+02, 0.000000000000000e+00, 0.000000000000000e+00
141, 2.172612144045849e-03, 9.727418294480230e-01, 5.259318930854074e-04, -4.776580762916964e-05, 9.036591282037278e-04, 1.095680946017275e+02, 0.000000000000000e+00, 0.000000000000000e+00
142, 2.172612144045849e-03, 9.671812450423860e-01, 5.261226654779798e-04, -3.276790631006655e-05, 7.012315583506760e-04, 1.095791456170674e+02, 0.000000000000000e+00, 0.000000000000000e+00
143, 2.172612144045849e-03, 9.607269578052183e-01, 5.262654792219384e-04, -2.277328485087097e-05, 5.386997862744202e-04, 1.095874282244426e+02, 0.000000000000000e+00, 0.000000000000000e+00
144, 2.172612144045848e-03, 9.532507966397212e-01, 5.263723011588618e-04, -1.589882833746992e-05, 4.073203073303769e-04, 1.095934809832810e+02, 0.000000000000000e+00, 0.000000000000000e+00
145, 2.172612144045848e-03, 9.446116745626529e-01, 5.264514414326468e-04, -1.101415464099634e-05, 3.014563843908946e-04, 1.095976527063288e+02, 0.000000000000000e+00, 0.000000000000000e+00
146, 2.172612144045848e-03, 9.346562521084408e-01, 5.265104252586010e-04, -7.475181831578701e-06, 2.174650195805626e-04, 1.096002603996969e+02, 0.000000000000000e+00, 0.000000000000000e+00
147, 2.172612144045848e-03, 9.232204607343710e-01, 5.265530374506080e-04, -4.916295914388000e-06, 1.526518547011008e-04, 1.096016401373814e+02, 0.000000000000000e+00, 0.000000000000000e+00
148, 2.172612144045848e-03, 9.101321425997635e-01, 5.265836970554123e-04, -3.095912510264681e-06, 1.045628081295059e-04, 1.096021156826412e+02, 0.000000000000000e+00, 0.000000000000000e+00
149, 2.172612144045847e-03, 8.952150761161464e-01, 5.266021017457604e-04, -1.831938904642686e-06, 7.076136587157460e-05, 1.096019688572331e+02, 0.000000000000000e+00, 0.000000000000000e+00
150, 2.172612144045847e-03, 8.782946399565114e-01, 5.266108685004142e-04, -9.605574908692308e-07, 4.896732868819015e-05, 1.096013740079495e+02, 0.000000000000000e+00, 0.000000000000000e+00
151, 2.172612144045847e-03, 8.592053057461341e-01, 5.266057141687857e-04, -3.673376768848652e-07, 3.721728064573563e-05, 1.096004851948098e+02, 0.000000000000000e+00, 0.000000000000000e+00
152, 2.172612144045846e-03, 8.378000245133035e-01, 5.265904682325786e-04, 4.363808785372158e-08, 3.391812438802346e-05, 1.095993864800240e+02, 0.000000000000000e+00, 0.000000000000000e+00
153, 2.172612144045846e-03, 8.139613704892860e-01, 5.265572509050599e-04, 3.206598368659192e-07, 3.781108105800966e-05, 1.095981779904502e+02, 0.000000000000000e+00, 0.000000000000000e+00
154, 2.172612144045846e-03, 7.876140241451648e-01, 5.265174569567588e-04, 5.249307109929852e-07, 4.795557563702136e-05, 1.095968919810425e+02, 0.000000000000000e+00, 0.000000000000000e+00
155, 2.172612144045846e-03, 7.587378287074202e-01, 5.264636302122399e-04, 6.666317218502261e-07, 6.367850827854779e-05, 1.095955970445977e+02, 0.000000000000000e+00, 0.000000000000000e+00
156, 2.172612144045845e-03, 7.273802812588374e-01, 5.264188789630604e-04, 7.783220897977350e-07, 8.442276430156123e-05, 1.095943889790003e+02, 0.000000000000000e+00, 0.000000000000000e+00
157, 2.172612144045845e-03, 6.936669914419182e-01, 5.263761885943418e-04, 8.496641380157490e-07, 1.095171385204542e-04, 1.095934389079214e+02, 0.000000000000000e+00, 0.000000000000000e+00
158, 2.172612144045844e-03, 6.578084530582297e-01, 5.263407469292723e-04, 8.802735009874489e-07, 1.378512872461209e-04, 1.095930725970403e+02, 0.000000000000000e+00, 0.000000000000000e+00
159, 2.172612144045843e-03, 6.201015279667785e-01, 5.263200153462961e-04, 8.451550802466618e-07, 1.675430307547425e-04, 1.095936581290524e+02, 0.000000000000000e+00, 0.000000000000000e+00
160, 2.172612144045843e-03, 5.809244133449356e-01, 5.263191056306939e-04, 7.375335770039378e-07, 1.957733530541883e-04, 1.095956754174075e+02, 0.000000000000000e+00, 0.000000000000000e+00
161, 2.172612144045842e-03, 5.407245648559436e-01, 5.263325478778647e-04, 5.296238311271434e-07, 2.189250666605622e-04, 1.095993774743325e+02, 0.000000000000000e+00, 0.000000000000000e+00
162, 2.172612144045842e-03, 5.000000000000018e-01, 5.263728563638946e-04, 2.486403507308091e-07, 2.331881278287089e-04, 1.096048611763578e+02, 0.000000000000000e+00, 0.000000000000000e+00
163, 2.172612144045841e-03, 4.592754351440596e-01, 5.264232803157730e-04, -1.197116508502507e-07, 2.353719742438919e-04, 1.096116872209697e+02, 0.000000000000000e+00, 0.000000000000000e+00
164, 2.172612144045840e-03, 4.190755866550678e-01, 5.265011448152094e-04, -4.931880107338775e-07, 2.239045587398041e-04, 1.096191790545915e+02, 0.000000000000000e+00, 0.000000000000000e+00
165, 2.172612144045840e-03, 3.798984720332247e-01, 5.265804363134018e-04, -8.667325248019126e-07, 1.994823827650098e-04, 1.096262943620032e+02, 0.000000000000000e+00, 0.000000000000000e+00
166, 2.172612144045839e-03, 3.421915469417734e-01, 5.266841815388429e-04, -1.117184093776889e-06, 1.652004319052689e-04, 1.096321795411221e+02, 0.000000000000000e+00, 0.000000000000000e+00
167, 2.172612144045839e-03, 3.063330085580845e-01, 5.267609577508544e-04, -1.282623251897154e-06, 1.258623052352463e-04, 1.096362037885895e+02, 0.000000000000000e+00, 0.000000000000000e+00
168, 2.172612144045838e-03, 2.726197187411654e-01, 5.268695299555323e-04, -1.253770533912260e-06, 8.674837160977173e-05, 1.096383291223570e+02, 0.000000000000000e+00, 0.000000000000000e+00
169, 2.172612144045838e-03, 2.412621712925822e-01, 5.269505159135657e-04, -1.158809250116225e-06, 5.225102565896398e-05, 1.096388724959404e+02, 0.000000000000000e+00, 0.000000000000000e+00
170, 2.172612144045837e-03, 2.123859758548375e-01, 5.270742629902540e-04, -9.013526928679897e-07, 2.504061234004766e-05, 1.096384123920742e+02, 0.000000000000000e+00, 0.000000000000000e+00
171, 2.172612144045837e-03, 1.860386295107162e-01, 5.271597018274067e-04, -6.885678745134073e-07, 5.865838642403078e-06, 1.096374965015235e+02, 0.000000000000000e+00, 0.000000000000000e+00
172, 2.172612144045837e-03, 1.621999754866981e-01, 5.272677530075337e-04, -4.009300222609160e-07, -5.999483305896408e-06, 1.096365150392981e+02, 0.000000000000000e+00, 0.000000000000000e+00
